image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001507157_Raw00_f_00005.jpg,4693,4306,2102,2102
0001507157_Raw01_f_00001.jpg,5611,5046,3125,3125
0001507157_Raw01_f_00003.jpg,4206,3744,2195,2195
0001507157_Raw01_f_00005.jpg,4815,4056,2269,2269
0001507356_Raw00_f_00011.jpg,2951,2788,1162,1162
0001507356_Raw01_f_00003.jpg,3451,3209,1453,1453
0001507356_Raw03_f_00004.jpg,2468,2356,1462,1462
0001508776_Raw00_f_00001.jpg,1695,1609,847,847
0001508776_Raw01_f_00005.jpg,1883,1798,1024,1024
0001508776_Raw13_f_00002.jpg,2866,2562,1541,1541
0001508779_Raw01_f_00007.jpg,1725,1654,876,876
0001508779_Raw01_f_00010.jpg,2059,1918,1163,1163
0001508786_Raw00_f_00010.jpg,1821,1759,1003,1003
0001508786_Raw01_f_00007.jpg,1927,1803,1121,1121
0001508792_Raw01_f_00009.jpg,2614,2455,1463,1463
0001508792_Raw13_f_00004.jpg,2572,2319,1540,1540
0001508804_Raw02_f_00002.jpg,3337,3018,2248,2248
0001508812_Raw00_f_00008.jpg,2131,1917,1154,1154
0001508812_Raw02_f_00001.jpg,2375,2246,1437,1437
0001508812_Raw02_f_00008.jpg,2401,2227,1329,1329
0001508812_Raw02_f_00010.jpg,1433,1377,1146,1146
0001508836_Raw01_f_00001.jpg,3209,3039,1694,1694
0001508878_Raw13_f_00010.jpg,2535,2352,1412,1412
0001508888_Raw01_f_00000.jpg,1716,1577,1211,1211
0001508888_Raw02_f_00001.jpg,1979,1843,1228,1228
0001508888_Raw03_f_00001.jpg,2641,2450,1954,1954
0001508888_Raw03_f_00012.jpg,1768,1741,1359,1359
0001508888_Raw03_f_00013.jpg,1720,1700,1357,1357
0001508896_Raw13_f_00004.jpg,2556,2356,1435,1435
0001513231_Raw02_f_00003.jpg,3295,3046,1541,1541
0001513292_Raw00_f_00002.jpg,2674,2523,1251,1251
0001513292_Raw02_f_00002.jpg,2942,2696,1210,1210
0001513292_Raw03_f_00002.jpg,2436,2262,1507,1507
0001513462_Raw02_f_00002.jpg,3385,3143,1138,1138
0001513462_Raw03_f_00002.jpg,2734,2536,1269,1269
0001513813_Raw01_f_00002.jpg,4157,3784,1493,1493
0001524056_Raw10_f_00014.jpg,3619,3454,2250,2250
C1088600_V01_F00005_f9960f16-299a-4ba0-a21e-380feae4eccc.jpg,4890,4532,2598,2598
C1088600_V01_F00013_ca104bf6-f49d-4a1c-a79a-4a687a2c677e.jpg,3302,3136,1861,1861
C1088784_V02_F00010_ef3e146f-9528-4710-adc3-de0f50b1efd6.jpg,856,796,566,566
C1089315_V02_F00003_0610dc1f-6aff-4fc5-9420-792e1a8db51b.jpg,1963,1720,1111,1111
C1089343_V11_F00002_a731b7bc-af84-4d1c-bed6-16eaee09ee11.jpg,4776,4315,2542,2542
C1089343_V13_F00001_69fbc7de-64b5-48f3-ab41-577881f66f25.jpg,3551,3233,1943,1943
C1090687_V03_F00006_fc9ffcbb-ac3c-45fd-8e65-318271c347fb.jpg,1566,1520,1142,1142
C1091137_V13_F00000_0711bf0c-ae68-436a-adf0-92deb0cc42e4.jpg,2143,1972,1199,1199
C1091440_V01_F00003_d554b55c-0854-46d6-bba3-f9a34d193353.jpg,2838,2783,1737,1737
C1091480_V01_F00007_daa45838-c0b4-47ed-8320-0a395f9d9fca.jpg,2428,2333,1035,1035
C1098590_V01_F00005_474bfc65-c87c-4e85-b26b-10acac56a069.jpg,5364,4421,1685,1685
C1098590_V01_F00006_b4e40289-1047-4d67-b054-f6f27bba1d3a.jpg,4521,3881,1609,1609
C1098590_V01_F00007_9a62e988-3510-442a-8ec8-42f474c21531.jpg,3903,3505,1705,1705
C1104648_V01_F00002_aee9e4cb-decd-4c75-8765-a7307c08f574.jpg,1988,1903,870,870
C1109549_V00_F00002_e0910348-13a7-4f89-8874-ea49728a9a26.jpg,1986,1779,972,972
C1109549_V02_F00005_f64305b7-85eb-4a53-9522-bb3511d9b225.jpg,2575,2329,1270,1270
C1109556_V11_F00003_885486e1-6abb-4445-8896-d963343b001d.jpg,2833,2630,1572,1572
C1109702_V01_F00001_e5773398-0046-4041-9eff-44f24d1cbdab.jpg,4366,3971,1569,1569
C1109702_V01_F00003_4563735e-483f-41b1-99c5-e828f994f285.jpg,4643,4205,1763,1763
C1109702_V01_F00004_e12f9990-944d-4656-b619-5128588d1c21.jpg,5017,4549,1698,1698
