image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001508786_Raw00_f_00010.jpg,1821,1821,1543,1543
0001508786_Raw01_f_00007.jpg,1927,1927,1703,1703
0001508792_Raw01_f_00009.jpg,2614,2614,2273,2273
0001508792_Raw13_f_00004.jpg,2572,2572,2240,2240
0001508804_Raw02_f_00002.jpg,3337,3337,3039,3039
0001508812_Raw00_f_00008.jpg,2131,2131,1746,1746
0001508812_Raw02_f_00001.jpg,2375,2375,2113,2113
0001508812_Raw02_f_00008.jpg,2401,2401,2118,2118
0001508812_Raw02_f_00010.jpg,1433,1433,1328,1328
0001508836_Raw01_f_00001.jpg,3209,3209,2616,2616
0001508878_Raw13_f_00010.jpg,2535,2535,2147,2147
0001508888_Raw01_f_00000.jpg,1716,1716,1466,1466
0001508888_Raw02_f_00001.jpg,1979,1979,1617,1617
0001508888_Raw03_f_00001.jpg,2641,2641,2485,2485
0001508888_Raw03_f_00012.jpg,1768,1768,1628,1628
0001508888_Raw03_f_00013.jpg,1720,1720,1626,1626
0001508896_Raw13_f_00004.jpg,2556,2556,2022,2022
0001513231_Raw02_f_00003.jpg,3295,3295,2539,2539
0001513292_Raw00_f_00002.jpg,2674,2674,2148,2148
0001513292_Raw02_f_00002.jpg,2942,2942,2205,2205
0001513292_Raw03_f_00002.jpg,2436,2436,2029,2029
0001513462_Raw02_f_00002.jpg,3385,3385,2610,2610
0001513462_Raw03_f_00002.jpg,2734,2734,2097,2097
0001513813_Raw01_f_00002.jpg,4157,4157,3037,3037
0001524056_Raw10_f_00014.jpg,3619,3619,3139,3139
C1088600_V01_F00005_f9960f16-299a-4ba0-a21e-380feae4eccc.jpg,4890,4890,4106,4106
C1088600_V01_F00013_ca104bf6-f49d-4a1c-a79a-4a687a2c677e.jpg,3302,3302,2863,2863
C1088784_V02_F00010_ef3e146f-9528-4710-adc3-de0f50b1efd6.jpg,856,856,757,757
C1089315_V02_F00003_0610dc1f-6aff-4fc5-9420-792e1a8db51b.jpg,1963,1963,1569,1569
C1089343_V11_F00002_a731b7bc-af84-4d1c-bed6-16eaee09ee11.jpg,4776,4776,3760,3760
C1089343_V13_F00001_69fbc7de-64b5-48f3-ab41-577881f66f25.jpg,3551,3551,2913,2913
C1090687_V03_F00006_fc9ffcbb-ac3c-45fd-8e65-318271c347fb.jpg,1566,1566,1455,1455
C1091137_V13_F00000_0711bf0c-ae68-436a-adf0-92deb0cc42e4.jpg,2143,2143,1742,1742
C1091440_V01_F00003_d554b55c-0854-46d6-bba3-f9a34d193353.jpg,2838,2838,2505,2505
C1091480_V01_F00007_daa45838-c0b4-47ed-8320-0a395f9d9fca.jpg,2428,2428,1913,1913
C1098590_V01_F00005_474bfc65-c87c-4e85-b26b-10acac56a069.jpg,5364,5364,3735,3735
C1098590_V01_F00006_b4e40289-1047-4d67-b054-f6f27bba1d3a.jpg,4521,4521,3158,3158
C1098590_V01_F00007_9a62e988-3510-442a-8ec8-42f474c21531.jpg,3903,3903,3135,3135
C1104648_V01_F00002_aee9e4cb-decd-4c75-8765-a7307c08f574.jpg,1988,1988,1543,1543
C1109549_V00_F00002_e0910348-13a7-4f89-8874-ea49728a9a26.jpg,1986,1986,1560,1560
C1109549_V02_F00005_f64305b7-85eb-4a53-9522-bb3511d9b225.jpg,2575,2575,2101,2101
C1109556_V11_F00003_885486e1-6abb-4445-8896-d963343b001d.jpg,2833,2833,2429,2429
C1109702_V01_F00001_e5773398-0046-4041-9eff-44f24d1cbdab.jpg,4366,4366,3193,3193
C1109702_V01_F00003_4563735e-483f-41b1-99c5-e828f994f285.jpg,4643,4643,3458,3458
C1109702_V01_F00004_e12f9990-944d-4656-b619-5128588d1c21.jpg,5017,5017,3650,3650
C1109702_V01_F00006_05a8ed5a-a52a-4676-9c0d-3fb316772cfc.jpg,4023,4023,2906,2906
C1109702_V01_F00007_105a6ae0-9e6e-4f09-9ba2-90af1c6f7209.jpg,5044,5044,3745,3745
C1110103_V02_F00007_89a0dc57-84cc-4633-951a-756f215bd653.jpg,3205,3205,2595,2595
C1110379_V13_F00000_96579f1f-afe2-4704-895e-561d42755793.jpg,3016,3016,2490,2490
C1112907_V00_F00006_36067822-fa64-41d5-b472-b39161889add.jpg,4357,4357,3297,3297
C1112907_V01_F00006_bc6b175e-2930-46db-ab67-951cf3937af5.jpg,2955,2955,2458,2458
C1112907_V02_F00012_4067c79c-05d3-41d4-9542-edcac1162a97.jpg,3591,3591,2930,2930
C1142083_V01_F00006_e08d31f4-8aa6-44a6-8ee4-965f4fac1f71.jpg,2457,2457,1898,1898
C1142091_V02_F00003_46ad1e57-22c3-428c-8c31-59db3eed275d.jpg,1918,1918,1684,1684
C1148414_V01_F00003_b9fd37a3-bf37-4711-8903-054880d359e6.jpg,5590,5590,4922,4922
C1148414_V01_F00007_2be71d90-48c2-46be-8b22-e03d20222a3f.jpg,6312,6312,5657,5657
C1148414_V01_F00012_51809df6-f892-4535-96f1-7abb5335eb83.jpg,7395,7395,6554,6554
C1148873_V01_F00003_dd3fe065-aece-4bec-ad03-66cbef2ba401.jpg,3725,3725,2951,2951
C1148873_V01_F00005_5bbafc71-ec02-4fa1-a30b-5ec13d035ade.jpg,3647,3647,3000,3000
C1148873_V01_F00006_cafc21a2-631a-41f4-a777-45a56d89e37d.jpg,3584,3584,3028,3028
C1148873_V01_F00007_78e83f97-f8d9-443c-a61d-b6d3a5a4927e.jpg,4039,4039,3342,3342
C1156773_V02_F00007_bd31837a-0ab3-4d96-995d-88f9f375b041.jpg,3870,3870,3413,3413
C1156785_V12_F00002_936143eb-ffbf-4609-b75c-2778f476c44c.jpg,4490,4490,4031,4031
C1156785_V12_F00003_52278f94-7810-4314-8a77-6276b3559eaa.jpg,3742,3742,3246,3246
C1161080_V03_F00001_3b9692ef-7911-41a0-becf-4dd460b6fc91.jpg,2198,2198,1863,1863
C1161279_V02_F00004_bd1f379e-1b76-4c60-b520-0d58c383a3fc.jpg,3130,3130,2817,2817
C1236881_V13_F00000_78120b69-1247-4dcd-9b3d-9fb3932a5c15.jpg,3038,3038,2687,2687
C1236952_V01_F00007_436eb1b9-3df1-4ad2-9a0a-898be01e4191.jpg,3979,3979,3270,3270
C1238898_V11_F00002_b6acc7d8-e1f3-4fdd-9655-b39a81f2f595.jpg,4054,4054,3012,3012
C1238898_V13_F00001_6d090fdb-8b9b-424c-81cd-9ef5a945d043.jpg,4683,4683,3916,3916
C1239135_V13_F00007_1efe6c65-98eb-49cb-be69-8f1bc4aa520a.jpg,4103,4103,3403,3403
C1239162_V13_F00012_2fda64da-493d-43bb-8d06-a6bc09e75faf.jpg,3215,3215,2691,2691
C1239638_V03_F00007_526234b4-6138-4250-a542-153f4df9702f.jpg,2211,2211,1793,1793
C1240770_V02_F00007_1481b2de-d4db-43f1-ac46-0b72b6587011.jpg,2327,2327,1993,1993
C1240770_V03_F00007_faf5772c-639d-464e-b154-941db477b935.jpg,3850,3850,3256,3256
C1243226_V03_F00000_3ecaf361-c967-4625-a402-7c860a7f6272.jpg,2714,2714,2106,2106
C1243226_V11_F00002_b133680d-766e-49e4-9bdc-dd55e4b95377.jpg,7405,7405,5916,5916
C1249118_V01_F00005_664b40e2-81dc-4c4a-a795-e82730bf36aa.jpg,7359,7359,5836,5836
C1249118_V01_F00006_82a97400-0132-4dd3-bc36-52b0fd8a1725.jpg,6423,6423,5142,5142
C1249118_V01_F00008_dc397da4-def0-4899-939e-92c0b7326ece.jpg,7861,7861,6078,6078
C1249118_V01_F00009_8f3c7d65-9e1e-4f4e-b8a6-51abc2560199.jpg,7028,7028,5525,5525
C1249118_V01_F00010_558a576b-de61-40cf-85dd-8da271c6b4b6.jpg,7506,7506,6069,6069
C1249118_V01_F00011_63976a6d-180e-44e2-8ced-2e4594a2fae3.jpg,6719,6719,5314,5314
